class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,vehicle_1,1206,351002,511243,2175,2783
rare,vehicle_1,2739,616282,901700,236969,328455
cosmic,vehicle_1,2785,629199,920216,104707,148586
clinvar,vehicle_1,513,154133,228378,2332,4130
common,vehicle_2,1104,329943,481725,1995,2545
rare,vehicle_2,2517,576582,845404,221977,308463
cosmic,vehicle_2,2557,588710,862726,98420,139810
clinvar,vehicle_2,481,145182,215746,2014,3610
