class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,vehicle_1,1199,142565,510219,527,2767
rare,vehicle_1,2665,242308,896955,78478,326687
cosmic,vehicle_1,2720,247485,915736,36499,147849
clinvar,vehicle_1,502,64365,227202,1517,4115
common,vehicle_2,1094,135314,479842,483,2527
rare,vehicle_2,2436,228745,839536,74421,305994
cosmic,vehicle_2,2485,233556,857131,34603,138848
clinvar,vehicle_2,468,61141,213705,1365,3574
